Customer_ID,Day Mins,Eve Mins,Night Mins,Intl Mins
333-7749,260.2,179.2,135.0,7.2
333-7869,142.5,231.4,131.2,10.0
333-7961,276.2,165.8,151.6,2.2
333-8180,235.5,257.2,103.1,11.5
333-8822,210.0,232.7,168.8,5.9
333-8954,205.0,165.4,185.0,11.7
333-8996,176.8,187.5,196.8,6.5
333-9002,131.6,179.3,251.2,15.5
333-9133,175.4,155.3,179.4,11.5
333-9253,180.1,127.5,237.4,7.5
333-9266,148.5,243.0,255.2,6.8
333-9511,185.4,178.5,218.3,8.0
333-9643,216.2,185.7,300.0,10.0
333-9664,214.6,96.6,170.7,7.9
333-9728,218.7,163.4,173.8,15.0
333-9826,122.8,211.3,261.4,10.7
334-1275,203.4,190.9,196.0,8.9
334-1311,194.3,243.2,322.2,7.1
334-1337,223.9,155.7,150.2,7.3
334-1339,158.0,207.9,190.4,10.1
334-1508,162.3,233.9,277.4,9.2
334-1872,193.3,264.1,128.6,9.1
334-2577,238.1,187.2,190.0,11.8
334-2729,135.4,205.9,204.0,7.9
334-2730,134.5,143.1,223.9,15.4
334-2800,163.3,136.0,249.1,4.3
334-2961,163.1,291.7,96.4,11.2
334-3142,163.0,203.9,159.0,15.1
334-3289,179.2,175.2,228.6,9.9
334-4354,213.2,120.7,244.4,7.5
334-4438,37.8,155.3,175.0,14.2
334-4506,150.0,159.4,228.1,8.5
334-4678,171.5,153.1,165.6,7.1
334-5029,286.4,205.7,191.4,6.9
334-5223,168.2,161.7,192.4,10.1
334-5263,41.9,211.0,237.9,11.4
334-5337,231.8,150.6,269.2,11.6
334-5634,169.2,216.8,179.4,12.6
334-5844,95.0,167.9,200.6,11.2
334-6129,103.2,236.3,203.5,11.9
334-6142,146.4,148.5,216.7,11.3
334-6519,272.7,236.4,235.5,7.7
334-6605,176.4,224.9,219.6,11.5
334-7443,130.2,290.9,194.8,14.0
334-7618,239.8,251.8,168.6,10.9
334-7685,84.2,80.8,196.1,10.8
334-8694,270.9,226.2,178.8,8.8
334-8817,193.7,154.2,299.0,12.7
334-8967,212.7,257.5,227.8,9.7
334-9163,175.8,253.6,128.5,11.4
334-9182,132.7,204.6,154.7,12.9
334-9505,226.2,181.6,258.8,10.5
334-9806,206.3,154.9,263.6,12.4
334-9818,115.6,167.8,141.8,12.6
335-1697,198.5,267.8,354.9,9.4
335-1838,99.5,129.1,125.1,9.7
335-1874,322.5,204.6,186.2,9.4
335-2019,275.8,189.5,223.9,7.4
335-2261,175.5,205.1,245.2,17.8
335-2274,244.7,168.0,281.5,6.6
335-2331,146.3,202.7,234.7,13.1
335-2967,289.8,255.6,242.8,11.7
335-3110,152.8,242.8,147.4,9.1
335-3133,181.6,335.7,149.8,8.3
335-3320,140.4,187.1,207.9,7.9
335-3681,147.5,191.7,135.0,16.4
335-3880,114.3,221.1,126.3,10.9
335-3913,74.3,177.3,296.3,14.5
335-4414,185.1,165.1,111.6,6.3
335-4584,206.3,148.6,167.2,6.1
335-4719,184.5,351.6,215.8,8.7
335-4858,70.7,157.5,154.8,9.1
335-4888,269.8,228.8,257.5,10.1
335-5591,196.1,296.5,211.5,7.0
335-5806,37.7,144.1,226.6,4.9
335-5882,207.6,132.4,255.2,14.1
335-6508,245.2,254.1,239.4,7.5
335-6832,245.9,240.1,158.7,8.9
335-7144,225.9,275.6,201.4,14.3
335-7257,184.0,76.4,185.1,12.7
335-7324,172.1,223.6,150.0,13.9
335-8146,158.8,264.8,270.0,7.6
335-8427,156.0,256.8,175.3,11.9
335-8836,174.3,171.3,220.8,8.3
335-9066,162.7,292.0,183.3,8.7
335-9501,112.8,218.8,240.2,9.0
335-9726,163.7,113.2,134.1,9.9
335-9786,214.9,117.8,133.7,11.8
336-1043,123.8,236.2,73.2,3.7
336-1090,166.0,174.5,244.9,10.2
336-1353,211.9,215.1,238.5,9.4
336-1462,202.4,230.7,202.0,10.2
336-1574,168.6,175.6,243.3,10.9
336-1749,159.5,303.8,226.9,12.0
336-1880,129.7,160.8,265.0,12.2
336-2090,155.3,265.7,145.7,12.4
336-2190,237.3,154.0,237.0,11.2
336-2322,161.9,230.1,148.8,10.2
336-2829,139.4,143.4,225.2,10.0
336-3488,227.4,176.0,206.1,6.3
336-3738,184.5,209.0,169.7,10.2
336-3819,296.4,214.8,133.9,11.4
336-4281,174.5,245.6,172.8,10.3
336-4656,102.6,246.0,170.5,9.1
336-4960,207.7,217.5,125.6,8.0
336-5406,225.1,199.2,175.5,14.6
336-5495,204.5,162.4,155.0,13.4
336-5616,225.0,176.9,194.3,7.1
336-5661,136.7,228.6,265.3,9.8
336-5702,170.4,200.2,258.3,11.6
336-5900,205.1,232.7,259.9,9.2
336-5920,232.5,205.5,213.7,11.9
336-6085,213.8,265.1,239.8,15.6
336-6128,145.0,194.5,242.3,14.2
336-6533,262.3,198.9,165.9,6.6
336-6907,172.4,230.5,228.2,11.0
336-6997,252.4,167.9,248.3,10.7
336-7143,112.8,156.7,249.6,16.3
336-7155,245.5,292.7,184.0,10.8
336-7357,174.6,310.6,234.7,9.0
336-7600,187.9,157.6,227.3,7.5
336-7696,133.3,255.5,228.6,11.6
336-8010,186.2,286.7,164.3,12.9
336-8343,226.0,304.6,181.2,12.6
336-9053,183.8,183.4,235.0,11.6
336-9273,228.1,136.4,197.3,9.0
336-9327,139.9,223.6,240.8,12.7
336-9390,159.5,247.1,187.9,7.2
336-9901,139.8,174.9,201.6,9.4
337-1100,123.1,182.0,244.6,12.6
337-1151,145.4,209.1,214.0,10.9
337-1225,34.0,278.6,129.6,11.5
337-1506,224.4,147.9,183.8,6.7
337-1586,247.5,225.4,244.3,10.2
337-1802,158.6,130.4,229.8,6.9
337-2348,215.5,241.8,147.0,9.6
337-2442,180.0,198.8,217.1,12.4
337-2986,186.9,182.6,143.1,4.2
337-3740,227.2,194.4,243.4,14.9
337-3769,201.8,231.5,226.1,16.5
337-3868,169.3,178.6,242.3,12.2
337-3932,114.8,150.0,268.6,9.6
337-4101,101.9,223.1,241.6,12.9
337-4339,25.9,206.5,228.1,6.5
337-4403,161.4,163.6,153.2,11.8
337-4600,264.9,281.2,166.1,8.4
337-4697,185.0,223.3,222.8,12.6
337-4749,168.4,225.9,191.8,8.5
337-6851,174.3,186.6,258.2,12.9
337-6898,133.7,195.3,280.5,5.9
337-7163,196.5,241.3,143.2,4.0
337-7167,223.3,167.1,203.0,4.5
337-7377,92.8,271.2,167.1,5.8
337-7501,192.8,234.4,203.2,13.0
337-7739,149.3,200.2,231.7,11.9
337-7879,190.3,256.6,214.9,3.8
337-8078,181.5,205.1,204.0,14.7
337-8618,154.0,198.9,151.9,9.5
337-8950,166.9,221.8,243.9,12.8
337-9303,206.1,224.6,256.7,13.0
337-9326,206.3,241.1,227.8,11.7
337-9345,179.3,178.6,225.2,11.5
337-9569,220.9,192.2,161.0,12.2
337-9710,164.9,210.4,229.4,7.8
337-9878,185.4,197.6,147.1,14.5
338-1027,135.1,134.1,223.1,12.3
338-1400,268.0,153.6,232.3,17.0
338-1724,153.2,229.7,148.2,10.7
338-1815,170.4,254.5,219.6,15.1
338-1840,223.0,227.0,188.3,8.8
338-3781,156.2,193.0,222.7,13.1
338-4065,183.4,242.0,201.4,7.5
338-4307,135.1,205.2,166.3,11.7
338-4472,134.8,167.2,161.5,7.7
338-5207,211.2,237.7,259.2,12.3
338-6018,270.3,215.2,254.0,14.4
338-6283,206.5,176.2,232.8,12.4
338-6550,224.9,191.9,229.9,10.3
338-6556,132.0,279.6,180.0,13.5
338-6714,122.2,131.7,169.5,10.3
338-6962,111.9,114.0,146.8,14.1
338-6981,232.4,187.4,231.2,9.1
338-7120,315.6,208.9,260.1,12.1
338-7232,82.7,194.6,159.0,10.9
338-7305,178.5,146.9,217.1,9.9
338-7527,155.7,185.4,192.7,8.2
338-7683,95.0,291.2,159.6,10.0
338-7709,218.7,115.0,192.7,9.4
338-7886,216.8,190.8,187.5,11.0
338-7955,109.8,230.5,255.8,11.9
338-8050,65.4,168.2,236.0,13.8
338-8478,192.1,312.9,130.2,7.9
338-8566,83.2,190.6,150.5,10.7
338-8784,166.0,233.9,170.1,7.7
338-9044,97.5,260.4,88.7,7.0
338-9171,146.5,284.5,176.0,14.0
338-9210,229.6,132.3,211.9,9.5
338-9398,237.1,223.5,97.4,13.2
338-9472,211.6,216.9,153.5,7.8
338-9612,96.3,179.6,166.3,10.3
338-9873,119.7,231.8,222.3,4.6
338-9950,149.2,193.6,248.9,11.1
338-9952,173.0,209.4,231.1,12.2
339-1330,245.0,250.7,270.2,13.7
339-1405,156.4,233.4,195.7,7.7
339-2616,225.5,246.3,245.7,9.8
339-2734,103.4,189.3,227.2,14.4
339-2792,110.0,141.5,237.3,6.4
339-3049,189.8,123.4,214.2,6.5
339-3636,154.6,263.0,367.7,15.5
339-4068,239.3,223.4,251.4,10.6
339-4317,129.5,248.9,268.0,11.9
339-4636,154.7,298.0,210.2,11.1
339-5329,198.6,213.9,171.2,10.6
339-5423,245.3,122.9,228.4,8.5
339-5659,189.4,219.0,168.0,7.1
339-6446,128.8,208.7,202.1,14.0
339-6477,272.5,226.1,159.1,16.4
339-6637,126.9,166.9,145.2,8.8
339-6968,159.0,255.1,82.4,10.1
339-7139,138.6,199.0,204.1,7.8
339-7485,225.2,173.4,145.8,11.7
339-7541,174.1,251.1,257.6,8.3
339-7602,134.8,204.1,238.4,6.7
339-7684,235.6,236.8,241.2,7.7
339-8132,197.3,305.8,171.0,6.7
339-9026,97.4,203.6,173.9,11.4
339-9453,106.7,209.8,190.4,12.1
339-9631,151.1,194.8,239.2,10.0
339-9798,197.6,246.5,285.3,12.5
340-1876,179.7,218.1,212.3,9.3
340-2239,94.1,147.6,213.5,10.1
340-2855,153.8,123.3,117.8,9.2
340-3011,205.1,160.5,149.5,10.7
340-3075,172.0,200.2,233.1,8.0
340-3182,143.3,211.3,185.2,11.5
340-3409,75.8,173.6,162.6,8.2
340-3500,217.7,273.5,226.9,9.6
340-4028,160.9,144.2,120.4,12.9
340-4236,260.8,213.4,195.6,10.1
340-4627,262.2,165.2,194.3,10.6
340-4953,124.3,173.0,253.2,7.9
340-4972,237.8,208.9,167.8,15.6
340-4989,160.4,285.9,182.5,6.9
340-5121,126.9,180.0,140.8,8.0
340-5460,113.9,145.3,195.2,11.8
340-5580,239.2,188.5,105.6,8.8
340-5678,271.7,155.1,199.5,6.6
340-5930,196.3,136.8,154.7,7.7
340-6221,230.7,256.8,263.9,6.4
340-6339,159.9,172.2,263.2,5.6
340-6908,195.5,171.6,204.0,13.5
340-7062,165.0,249.7,170.3,12.6
340-8177,155.2,135.9,184.6,3.8
340-8245,249.4,209.5,180.6,9.9
340-8291,133.1,206.5,221.6,10.3
340-8323,286.4,178.2,214.2,10.7
340-8875,273.5,183.8,153.8,11.0
340-9013,78.1,239.3,144.4,12.3
340-9200,143.3,195.5,223.3,6.0
340-9449,219.4,225.7,255.3,12.0
340-9803,150.6,301.5,158.7,8.1
340-9910,114.4,78.3,232.7,0.0
341-1191,314.6,169.8,285.1,5.7
341-1412,254.7,90.2,153.4,10.6
341-1594,192.1,163.6,169.7,6.1
341-1647,264.3,202.8,173.4,6.3
341-1916,210.3,241.8,215.7,13.1
341-2360,159.0,167.9,167.6,12.3
341-2603,127.2,162.9,247.4,8.1
341-3044,78.5,210.5,179.7,11.8
341-3180,191.0,318.8,247.3,6.5
341-3270,183.4,281.3,105.2,8.2
341-3349,194.0,241.0,227.5,11.9
341-3464,194.4,190.3,183.4,11.4
341-3663,205.7,136.1,159.4,8.7
341-4075,123.7,103.0,189.4,13.1
341-4103,183.4,195.5,180.1,10.5
341-4463,257.1,312.2,183.0,8.8
341-4570,181.6,213.2,207.8,11.4
341-4873,113.3,197.9,284.5,11.7
341-5892,81.3,220.6,235.7,8.9
341-6743,299.5,163.4,146.7,11.6
341-7112,157.9,259.6,230.0,14.0
341-7279,118.0,167.2,205.7,11.8
341-7296,166.5,261.0,262.7,13.3
341-7332,206.0,186.0,307.1,8.4
341-7412,173.0,190.4,290.0,10.4
341-7686,61.2,92.3,197.4,13.7
341-8412,164.6,262.8,123.8,15.2
341-8467,152.7,257.5,198.1,9.4
341-8667,192.6,206.4,283.2,10.8
341-8719,232.8,303.4,255.6,12.9
341-9274,201.9,156.3,131.3,13.7
341-9396,236.3,190.8,129.0,7.2
341-9443,263.8,103.4,208.1,8.5
341-9764,146.3,162.5,129.3,14.5
341-9890,115.1,211.3,136.1,13.8
341-9907,198.2,202.8,146.4,5.1
342-1004,110.5,208.3,87.4,13.9
342-1099,84.7,249.9,193.4,14.5
342-1702,103.7,127.0,329.3,14.4
342-1960,295.3,127.4,166.8,9.6
342-2013,110.0,147.3,190.5,6.4
342-3678,62.8,170.4,280.2,9.4
342-4004,85.9,193.9,231.5,10.1
342-4122,287.1,159.3,216.8,13.9
342-5062,201.8,304.9,225.6,11.9
342-5243,211.7,271.7,203.3,7.4
342-5701,221.8,166.0,210.2,13.2
342-5854,235.5,142.3,316.7,12.5
342-5906,93.8,150.0,241.1,10.7
342-6316,114.8,81.9,304.3,12.0
342-6696,300.4,133.2,197.4,7.2
342-7514,160.6,237.0,245.1,10.7
342-7716,144.8,206.2,255.4,11.6
342-8002,180.7,174.6,165.3,12.0
342-8167,245.3,259.9,204.3,10.7
342-8320,268.8,246.6,271.9,16.4
342-8348,188.9,153.6,213.3,10.2
342-8702,124.8,257.2,193.2,13.4
342-9394,214.4,211.7,165.0,10.0
342-9480,227.9,207.5,211.7,12.1
343-1009,216.8,187.8,138.1,8.3
343-1323,190.6,220.1,180.3,6.0
343-1347,105.0,180.6,174.1,10.2
343-1458,133.4,204.6,196.9,11.1
343-1538,185.3,208.0,206.1,15.1
343-1965,211.3,105.6,175.9,9.7
343-2077,241.9,145.2,214.5,6.6
343-2095,136.1,272.9,220.2,4.4
343-2350,165.3,210.0,187.2,8.5
343-2392,125.9,196.4,252.7,10.3
343-2465,178.1,242.8,243.0,13.0
343-2592,297.9,238.1,240.5,8.9
343-2597,134.9,221.5,113.8,15.0
343-2605,172.7,133.4,259.5,9.8
343-2689,240.7,269.4,187.1,10.1
343-2741,185.8,276.5,192.1,5.7
343-3227,239.8,285.9,256.7,9.5
343-3296,174.5,197.4,238.5,10.6
343-3340,92.6,177.6,159.8,14.4
343-3356,216.6,190.8,224.7,12.4
343-3399,111.2,122.1,180.8,12.6
343-3846,172.0,276.4,193.7,10.1
343-3961,115.4,262.6,245.7,13.1
343-4147,221.6,157.1,222.4,11.5
343-4516,171.1,257.2,91.6,16.2
343-4696,81.1,245.2,237.0,10.3
343-4772,181.4,167.7,168.5,11.3
343-4806,217.8,189.7,182.6,10.4
343-5219,133.3,182.9,241.1,12.9
343-5347,172.5,253.1,221.6,5.9
343-5372,113.2,269.9,229.1,7.1
343-5679,222.0,187.0,282.3,12.4
343-5709,350.8,216.5,253.9,10.1
343-6314,119.1,287.7,223.0,12.2
343-6374,244.6,188.8,206.0,11.3
343-6643,142.2,262.4,139.2,10.1
343-6940,213.0,176.6,262.6,9.1
343-7019,236.8,265.3,152.4,9.5
343-7242,133.1,221.2,131.6,6.8
343-7734,160.0,175.4,184.8,9.9
343-9365,218.6,149.9,204.6,9.2
343-9645,197.7,152.2,221.0,7.0
343-9654,101.4,159.1,259.2,12.2
343-9658,146.0,109.7,247.4,6.8
343-9946,162.8,290.3,114.9,7.2
344-1136,202.0,184.3,176.0,7.4
344-1362,227.9,302.6,191.5,5.5
344-1970,312.0,180.0,168.6,12.8
344-2260,126.3,209.6,192.5,10.6
344-2416,67.4,244.0,281.1,11.4
344-3131,151.7,178.5,229.1,13.1
344-3145,259.3,175.2,222.4,12.0
344-3160,221.1,264.9,168.9,15.4
344-3388,243.8,83.9,179.8,13.7
344-3466,153.4,151.4,153.8,12.8
344-4022,207.0,167.4,238.2,2.6
344-4478,205.7,161.9,269.7,12.5
344-4691,279.9,223.1,251.7,13.0
344-4970,157.3,220.9,218.9,12.0
344-5117,193.7,246.1,138.0,14.6
344-5181,294.2,232.5,195.0,9.0
344-5206,149.7,212.5,245.9,12.6
344-5766,198.4,249.5,162.8,10.5
344-5967,186.8,253.4,273.1,12.3
344-5973,190.6,161.7,189.9,13.0
344-6258,144.3,156.4,214.7,7.8
344-6334,240.8,144.5,125.7,11.6
344-6404,145.6,197.1,294.5,10.5
344-6495,134.7,180.0,200.9,7.7
344-6847,168.4,276.0,196.2,11.4
344-6935,167.9,243.7,211.9,9.1
344-7197,154.2,112.3,246.4,15.4
344-7470,212.4,224.6,221.3,9.0
344-8498,190.0,116.6,141.5,12.2
344-9302,261.7,181.8,100.9,3.3
344-9347,203.3,141.9,200.7,8.5
344-9403,187.7,163.4,196.0,9.1
344-9620,215.8,285.2,192.1,6.9
344-9943,281.1,143.7,239.4,11.2
344-9966,222.2,218.5,266.0,10.9
345-1243,191.1,129.2,207.5,12.9
345-1419,193.8,118.9,135.9,9.2
345-1524,89.7,260.1,170.1,13.5
345-1994,306.2,189.7,240.3,11.7
345-1998,242.9,209.8,228.4,0.0
345-2108,246.4,256.2,169.0,3.8
345-2319,115.6,213.6,218.4,10.7
345-2401,207.7,210.6,238.2,9.6
345-2448,134.7,295.3,195.5,6.6
345-2476,90.7,207.5,169.4,5.6
345-2863,179.4,275.4,246.1,10.0
345-2931,221.0,160.7,233.1,6.8
345-3451,75.0,248.7,176.0,9.5
345-3614,107.3,238.2,271.8,10.0
345-3734,175.8,206.6,178.0,11.1
345-3787,294.7,294.6,260.1,10.8
345-3934,149.3,242.2,174.3,8.9
345-3947,266.1,225.2,224.7,8.9
345-4473,204.7,143.1,165.8,11.0
345-4551,105.3,197.4,187.5,8.6
345-4589,158.4,188.0,219.7,13.5
345-5089,189.3,174.9,221.9,11.2
345-5338,176.8,224.7,204.6,7.5
345-5639,230.6,224.1,244.0,11.1
345-5980,94.7,154.4,200.4,10.6
345-6043,207.0,232.9,172.4,9.1
345-6515,201.2,227.2,145.8,8.4
345-6961,246.8,206.3,208.4,13.2
345-7014,230.3,77.9,247.1,13.2
345-7117,109.2,153.1,240.0,9.8
345-7900,141.3,134.9,227.5,11.2
345-8237,183.2,126.8,263.3,11.2
345-8350,131.9,272.7,192.8,7.1
345-8397,152.8,183.6,151.8,10.5
345-8433,197.9,251.0,138.3,11.2
345-9018,103.1,275.0,141.1,11.2
345-9140,346.8,249.5,275.4,13.3
345-9153,175.7,187.2,225.5,8.6
345-9168,214.8,209.7,164.4,9.4
